Day	Month	Year	Tmin(c)	Tmax(c)	Prcp(mm)	Et0(mm)
1	1	2018	-31.5	-13.5	0.0	0.1784236501908717
2	1	2018	-21.39	-4.87	0.0	0.3131429629323872
3	1	2018	-14.9	-2.46	0.0	0.3285388942126674
4	1	2018	-14.32	-6.03	0.0	0.2180694334097546
5	1	2018	-13.84	-6.35	0.0	0.2013948638830485
6	1	2018	-11.36	1.89	0.0	0.4231716093549216
7	1	2018	-7.92	2.38	0.0	0.3804899723523224
8	1	2018	-9.56	-1.87	0.0	0.2595353597235993
9	1	2018	-10.45	1.17	0.0	0.386147857060673
10	1	2018	-23.62	-14.39	0.24	0.1412143539422534
11	1	2018	-28.89	-21.68	0.0	0.0740523719144534
12	1	2018	-31.15	-19.7	0.0	0.1072644714838705
13	1	2018	-27.74	-7.95	0.0	0.2662210342409974
14	1	2018	-22.56	-9.11	0.0	0.2349611157789977
15	1	2018	-29.24	-15.88	0.0	0.1492918155913327
16	1	2018	-21.68	-0.41	0.0	0.4264067543489769
17	1	2018	-9.55	4.25	0.0	0.5221348065460913
18	1	2018	-7.39	8.13	0.0	0.6946717400719943
19	1	2018	-4.97	4.97	0.0	0.4359427158122257
20	1	2018	-8.14	1.48	0.0	0.3639852197002147
21	1	2018	-12.23	-0.44	0.0	0.3722129232083244
22	1	2018	-11.38	4.7	0.0	0.6033715947591146
23	1	2018	-10.79	0.33	0.0	0.3790670866429963
24	1	2018	-10.95	-2.29	0.0	0.2891957668466181
25	1	2018	-9.26	-0.02	0.0	0.3373398469953877
26	1	2018	-12.31	-5.29	0.47	0.2173208683345569
27	1	2018	-19.94	-13.12	0.0	0.1356681814527811
28	1	2018	-22.15	-13.83	0.0	0.1474782328226551
29	1	2018	-22.85	-2.52	0.0	0.4068354135440835
30	1	2018	-12.57	4.34	0.0	0.6477363825100106
31	1	2018	-22.68	-12.99	0.0	0.1720600958714145
1	2	2018	-26.29	-14.59	0.0	0.168238315294086
2	2	2018	-21.71	-16.38	3.49	0.0908332986525908
3	2	2018	-27.4	-20.12	1.25	0.0921581732342424
