Day	Month	Year	Tmin(c)	Tmax(c)	Prcp(mm)	Et0(mm)
1	1	2018	-31.43	-13.4	0.0	0.1795490438173349
2	1	2018	-21.31	-4.91	0.0	0.3119854699715971
3	1	2018	-14.95	-2.61	0.0	0.3247373270920709
4	1	2018	-14.28	-6.06	0.0	0.2165688829804123
5	1	2018	-13.86	-6.43	0.0	0.1990034440990456
6	1	2018	-11.45	1.74	0.0	0.4189328489137432
7	1	2018	-7.96	2.25	0.0	0.3766571649097163
8	1	2018	-9.55	-1.93	0.0	0.2568191912167669
9	1	2018	-10.55	0.94	0.0	0.3793958504143506
10	1	2018	-23.65	-14.54	0.26	0.1389190109752284
11	1	2018	-28.91	-21.69	0.0	0.0739046643884428
12	1	2018	-31.12	-19.67	0.0	0.1073552319025962
13	1	2018	-27.74	-8.01	0.0	0.2650874348273223
14	1	2018	-22.55	-9.2	0.0	0.2331190493356964
15	1	2018	-29.23	-15.92	0.0	0.1488313593641061
16	1	2018	-21.6	-0.46	0.0	0.4257304664113256
17	1	2018	-9.53	4.28	0.0	0.5277833758368763
18	1	2018	-7.43	8.17	0.0	0.7032074549110389
19	1	2018	-4.94	4.91	0.0	0.4374504363581079
20	1	2018	-8.07	1.38	0.0	0.3584696811109119
21	1	2018	-12.2	-0.57	0.0	0.3675229388121254
22	1	2018	-11.36	4.61	0.0	0.6031292065387587
23	1	2018	-10.73	0.18	0.0	0.3746286342367125
24	1	2018	-10.92	-2.47	0.0	0.2816311102574019
25	1	2018	-9.31	-0.21	0.0	0.3311672287870916
26	1	2018	-12.34	-5.42	0.47	0.2135388732076057
27	1	2018	-20.09	-13.15	0.0	0.1369446105953956
28	1	2018	-22.28	-13.93	0.0	0.1468274193331648
29	1	2018	-22.95	-2.57	0.0	0.4069855408605478
30	1	2018	-12.53	4.23	0.0	0.6469552137033457
31	1	2018	-22.75	-13.05	0.0	0.1713057695578647
1	2	2018	-26.31	-14.66	0.0	0.1672100720114826
2	2	2018	-21.7	-16.47	3.31	0.0891134608176317
3	2	2018	-27.34	-20.2	1.11	0.0904934982946119
4	2	2018	-29.02	-16.37	0.0	0.1545349929538764
5	2	2018	-26.61	-15.3	0.0	0.1619292421859521
6	2	2018	-28.21	-17.09	0.0	0.1425568562763946
7	2	2018	-27.88	-13.95	0.0	0.1901224964226123
8	2	2018	-27.06	-17.04	0.0	0.1384836683428215
9	2	2018	-28.75	-15.75	0.0	0.1665906930646005
10	2	2018	-21.25	-9.39	0.0	0.2563329478048426
11	2	2018	-27.65	-15.12	0.0	0.174152446309471
12	2	2018	-32.39	-12.91	0.0	0.2117362508331289
13	2	2018	-18.86	2.02	0.0	0.6578246496893615
14	2	2018	-13.95	1.31	1.22	0.6550666670500936
15	2	2018	-26.51	-12.97	0.0	0.2122725794625596
16	2	2018	-21.42	-4.06	0.0	0.4574343766206733
17	2	2018	-18.61	-9.62	0.0	0.2334270757902444
18	2	2018	-22.56	-12.17	0.0	0.2102830355279678
19	2	2018	-27.82	-12.94	0.0	0.2286750983185709
20	2	2018	-23.16	-11.41	0.0	0.2473939906082475
21	2	2018	-29.44	-9.49	0.0	0.3055990433855842
22	2	2018	-25.04	-8.46	0.0	0.3462956848950873
23	2	2018	-20.2	-6.05	0.0	0.421376358728759
24	2	2018	-16.33	-1.74	0.0	0.5911982767189419
25	2	2018	-16.33	-1.11	0.0	0.6235195459611467
26	2	2018	-14.95	-3.93	0.0	0.4735597785441625
27	2	2018	-15.13	-0.85	0.0	0.6432875422885737
28	2	2018	-13.65	1.01	0.0	0.7444975571594896
1	3	2018	-17.66	-1.67	0.0	0.6254713218898784
2	3	2018	-13.55	-3.46	0.0	0.4990912278606967
3	3	2018	-7.67	-3.51	3.91	0.176519660561466
4	3	2018	-10.48	-4.52	7.39	0.2243930112649079
5	3	2018	-13.56	-8.74	0.51	0.1676935882749756
6	3	2018	-17.06	-7.42	0.0	0.3498470096530903
7	3	2018	-23.49	-5.97	0.0	0.4583883849898422
8	3	2018	-24.16	-7.7	0.0	0.4057363761779162
9	3	2018	-13.27	-1.0	0.0	0.6601946260261776
10	3	2018	-11.95	-1.8	0.0	0.5862630480268978
11	3	2018	-14.19	2.28	0.0	0.8607663867394082
12	3	2018	-16.12	-0.45	0.0	0.7256942536956049
13	3	2018	-16.09	2.0	0.0	0.8456580273941233
14	3	2018	-15.92	-1.01	0.0	0.7115329796308575
15	3	2018	-10.76	-2.74	0.0	0.5096086334208277
16	3	2018	-7.35	2.49	0.0	0.8490547675862303
17	3	2018	-5.41	0.92	0.91	0.5789005282136015
18	3	2018	-5.48	1.33	0.0	0.6428243038905188
19	3	2018	-8.19	0.72	0.0	0.7502228594200492
20	3	2018	-7.87	2.55	0.0	0.9160366604930392
21	3	2018	-10.3	2.66	0.0	0.9781515341203476
22	3	2018	-8.9	1.32	0.0	0.8620782973192649
23	3	2018	-4.59	0.85	4.37	0.4136138365989774
24	3	2018	-8.71	3.11	0.0	1.0112618390455912
25	3	2018	-6.48	1.79	0.0	0.8451393375705751
26	3	2018	-7.65	5.14	0.0	1.1904253344732665
27	3	2018	-9.52	5.33	0.0	1.193067411822725
28	3	2018	-12.6	-2.09	0.66	0.7469379821706704
29	3	2018	-19.77	-6.2	0.73	0.5710040325111279
30	3	2018	-22.76	-12.58	0.0	0.3256937941419633
31	3	2018	-21.61	-9.25	0.0	0.4642980174835354
1	4	2018	-17.87	-5.23	0.0	0.6425751011967856
2	4	2018	-19.94	-5.39	0.0	0.6321592793301143
3	4	2018	-15.47	-3.27	0.0	0.7415901010735122
4	4	2018	-17.89	-2.28	0.0	0.7877576415496804
5	4	2018	-17.88	-7.27	0.0	0.5357731053976644
6	4	2018	-21.99	-9.13	0.0	0.4835781487820874
7	4	2018	-20.98	-4.41	0.0	0.684072358588794
8	4	2018	-11.96	-2.36	0.18	0.779289431456358
9	4	2018	-7.19	1.01	0.0	0.9275240037454752
10	4	2018	-10.22	7.55	0.23	1.351761527196229
11	4	2018	-3.1	1.79	1.19	0.7086717243295225
12	4	2018	-4.01	0.22	0.0	0.5532721591873813
13	4	2018	-4.06	1.5	0.0	0.8099425654505803
14	4	2018	-3.42	7.1	0.0	1.4101194088063882
15	4	2018	-3.54	9.23	0.0	1.550311642567443
16	4	2018	-1.33	5.3	2.24	0.9262065124815758
17	4	2018	-1.63	2.22	5.1	0.4032032948858517
18	4	2018	-5.17	9.54	0.0	1.5720769111787678
19	4	2018	-2.58	12.07	0.0	1.7437606824921528
20	4	2018	-0.53	18.23	0.0	2.1282204487216037
21	4	2018	1.0	20.32	0.0	2.2709595882164133
22	4	2018	2.38	14.66	0.0	1.9085465959558223
23	4	2018	-0.72	13.27	0.0	1.828705499200025
24	4	2018	-1.62	20.37	0.0	2.2363465870046793
25	4	2018	2.93	17.4	0.0	2.035486526161649
26	4	2018	-0.88	22.24	0.0	2.280047185757995
27	4	2018	-0.87	16.47	0.0	1.9643087412064524
28	4	2018	0.6	26.29	0.0	2.5289420491828123
29	4	2018	5.84	21.39	0.0	2.2968945499610527
30	4	2018	0.05	12.04	0.0	1.67520825598786
1	5	2018	-3.43	16.48	0.0	1.9418537162884144
2	5	2018	1.61	18.29	0.0	2.102595486461985
3	5	2018	5.97	21.84	0.0	2.3404289444038757
4	5	2018	4.36	24.24	0.0	2.501316497288485
5	5	2018	5.38	24.79	0.0	2.542052605601935
6	5	2018	4.2	27.32	0.0	2.6855054430111
7	5	2018	11.2	26.96	0.0	2.66229599893429
8	5	2018	8.94	18.16	5.65	1.7544881570141204
9	5	2018	3.23	14.09	0.0	1.784437649426867
10	5	2018	2.7	12.29	2.72	1.3135298740831611
11	5	2018	4.46	11.32	2.73	0.9215156595273422
12	5	2018	2.61	18.62	0.0	2.147251294803038
13	5	2018	6.25	26.57	0.0	2.684238883789629
14	5	2018	3.99	24.65	0.0	2.5492867860124475
15	5	2018	11.41	32.07	0.0	3.0388288061010025
16	5	2018	8.92	28.29	0.0	2.7901142019841685
17	5	2018	7.32	15.22	0.0	1.4598589407064588
18	5	2018	4.43	18.45	0.0	2.10139308052345
19	5	2018	1.95	22.05	0.0	2.372587442224477
