Day	Month	Year	Tmin(c)	Tmax(c)	Prcp(mm)	Et0(mm)
1	1	2018	-31.48	-13.34	0.0	0.1804043761551919
2	1	2018	-21.04	-4.48	0.0	0.3208006672559401
3	1	2018	-14.0	-1.94	0.0	0.3332264325112809
4	1	2018	-13.56	-5.09	0.0	0.2330359932754983
5	1	2018	-13.81	-5.89	0.0	0.2140752821037655
6	1	2018	-11.71	1.71	0.0	0.421929648626747
7	1	2018	-8.32	1.89	0.0	0.3709511866184556
8	1	2018	-9.73	-1.66	0.0	0.27131329002019
9	1	2018	-10.73	0.82	0.0	0.3789261253267026
10	1	2018	-23.67	-15.96	0.4	0.1151021269781728
11	1	2018	-28.98	-21.7	0.0	0.0744049059918447
12	1	2018	-31.37	-19.78	0.0	0.1070844363996094
13	1	2018	-27.16	-7.74	0.0	0.2703426955142041
14	1	2018	-22.27	-8.7	0.0	0.2421211555900608
15	1	2018	-29.32	-14.92	0.0	0.1626744619647157
16	1	2018	-20.88	0.3	0.0	0.4440760399435396
17	1	2018	-8.9	3.89	0.0	0.4698416201738708
18	1	2018	-7.1	8.17	0.0	0.6118046353855362
19	1	2018	-4.98	4.6	0.0	0.4147676611762293
20	1	2018	-8.25	1.24	0.0	0.3572982078826116
21	1	2018	-11.97	-0.5	0.0	0.366650081253596
22	1	2018	-10.85	4.56	0.0	0.5312828293902997
23	1	2018	-11.03	0.7	0.0	0.3965477473537137
24	1	2018	-10.59	-1.63	0.0	0.3054409931780577
25	1	2018	-9.11	-0.42	0.0	0.3188899910031704
26	1	2018	-12.37	-6.05	0.59	0.1938005287177683
27	1	2018	-19.25	-13.02	0.0	0.1287132547164461
28	1	2018	-21.41	-13.69	0.57	0.1425778743394773
29	1	2018	-22.41	-2.12	0.0	0.4028479946991751
30	1	2018	-11.97	4.03	0.0	0.5592792073470387
31	1	2018	-22.8	-13.28	0.0	0.1677284884953112
1	2	2018	-25.8	-14.45	0.0	0.1683301839634016
2	2	2018	-21.6	-16.88	3.72	0.0803659756281758
3	2	2018	-27.43	-20.23	1.08	0.0911278177367024
4	2	2018	-29.01	-16.28	0.0	0.1562880902898283
5	2	2018	-26.86	-15.31	0.0	0.1635067072976025
6	2	2018	-28.29	-17.39	0.0	0.1389378054197656
7	2	2018	-27.49	-13.5	0.0	0.1967158799017072
8	2	2018	-26.54	-17.08	0.0	0.1351322016677108
9	2	2018	-28.8	-16.08	0.0	0.1623095784351744
10	2	2018	-21.32	-9.38	0.0	0.2509241462164094
11	2	2018	-27.65	-15.09	0.0	0.1749983778231184
12	2	2018	-32.59	-12.51	0.0	0.2170886651955783
13	2	2018	-19.12	2.16	0.0	0.6491694151951984
14	2	2018	-13.52	1.15	2.11	0.5436436825496479
15	2	2018	-26.81	-12.75	0.0	0.2161019664142567
16	2	2018	-21.04	-3.86	0.0	0.4490070738529739
17	2	2018	-19.22	-10.04	0.0	0.2229216136821175
18	2	2018	-22.83	-12.6	0.0	0.2003354969843893
19	2	2018	-27.78	-12.83	0.0	0.2276164784245103
20	2	2018	-23.64	-11.75	0.0	0.2366459833821033
21	2	2018	-29.37	-9.47	0.0	0.3028397521927124
22	2	2018	-24.78	-8.77	0.0	0.3330665546302941
23	2	2018	-19.73	-6.13	0.0	0.4087509996680529
24	2	2018	-16.2	-1.71	0.0	0.5819168639037798
25	2	2018	-16.9	-0.75	0.0	0.6290927042220453
26	2	2018	-14.86	-4.34	0.0	0.4373549115662275
27	2	2018	-14.63	-1.21	0.0	0.6092913597270612
28	2	2018	-13.52	0.67	0.0	0.712768520582624
1	3	2018	-18.07	-1.69	0.0	0.6135643609124002
2	3	2018	-12.94	-3.62	0.0	0.4756548371335773
3	3	2018	-7.49	-3.68	3.42	0.16295017979353
4	3	2018	-10.83	-4.96	7.92	0.2174232323821265
5	3	2018	-14.57	-8.54	0.0	0.2014943912551682
6	3	2018	-17.64	-7.66	0.0	0.3349542326909627
7	3	2018	-23.68	-6.14	0.0	0.4413271272351304
8	3	2018	-24.26	-7.61	0.0	0.398113170967637
9	3	2018	-12.48	-0.25	0.0	0.6692733465595176
10	3	2018	-12.09	-1.23	0.0	0.6033782386545636
11	3	2018	-14.0	2.59	0.0	0.8533197662439562
12	3	2018	-15.91	-0.67	0.0	0.6938914371805307
13	3	2018	-15.9	2.33	0.0	0.8419626519163101
14	3	2018	-15.73	-0.91	0.0	0.6949190743030357
15	3	2018	-9.96	-2.53	0.0	0.4595933009123316
16	3	2018	-6.8	2.14	0.0	0.7548668075884393
17	3	2018	-4.11	0.58	2.86	0.25709724192905
18	3	2018	-5.62	1.53	0.87	0.6160392830793743
19	3	2018	-8.65	0.2	0.0	0.6575609105572254
20	3	2018	-8.92	2.34	0.0	0.8592066458852129
21	3	2018	-10.84	2.57	0.0	0.9172586882265812
22	3	2018	-8.76	1.24	0.0	0.7842786545222018
23	3	2018	-5.05	1.34	4.35	0.4469892020231566
24	3	2018	-9.61	3.04	0.0	0.9623645632031584
25	3	2018	-6.07	1.78	0.0	0.7517856236767696
26	3	2018	-7.03	5.0	0.0	1.1115677790758671
27	3	2018	-9.29	5.04	0.0	1.1417733368628706
28	3	2018	-12.79	-0.86	0.64	0.7893219250326079
29	3	2018	-18.38	-5.64	0.73	0.5658027746999725
30	3	2018	-21.77	-12.44	0.0	0.2970860990589754
31	3	2018	-21.7	-9.69	0.0	0.424387766168205
1	4	2018	-18.67	-5.43	0.0	0.6044628369760021
2	4	2018	-20.02	-5.18	0.0	0.614594269335569
3	4	2018	-16.74	-3.63	0.0	0.6916870413313705
4	4	2018	-17.98	-2.47	0.0	0.748762697496945
5	4	2018	-18.02	-7.9	0.0	0.4720907531630853
6	4	2018	-22.92	-9.25	0.0	0.4588421747179454
7	4	2018	-20.73	-4.07	0.0	0.6761074413154872
8	4	2018	-11.91	-2.3	0.0	0.7358847719782192
9	4	2018	-6.61	1.34	0.0	0.8728401985291399
10	4	2018	-9.58	7.52	0.0	1.36328236094629
11	4	2018	-2.66	2.39	0.83	0.694292960192163
12	4	2018	-3.98	0.02	0.0	0.4654137370986422
13	4	2018	-3.75	1.74	0.0	0.7582169147319442
14	4	2018	-2.61	8.08	0.0	1.472077118699881
15	4	2018	-3.1	10.02	0.0	1.6012843789772868
16	4	2018	-0.82	5.65	3.25	0.8590729257890842
17	4	2018	-1.8	2.37	4.83	0.3936758632901121
18	4	2018	-5.13	10.34	0.0	1.6174660010387396
19	4	2018	-1.71	12.89	0.0	1.799985400697184
20	4	2018	-0.08	19.02	0.0	2.180593899928897
21	4	2018	1.27	20.19	0.0	2.2688167618589676
22	4	2018	2.36	14.56	0.0	1.9019588547508053
23	4	2018	-0.75	13.26	0.0	1.8294052702667971
24	4	2018	-1.33	20.62	0.0	2.2576642019257234
25	4	2018	3.19	17.32	0.0	2.0287270838320164
26	4	2018	-0.69	22.15	0.0	2.2794834600458675
27	4	2018	-0.53	16.99	0.0	1.998909223760976
28	4	2018	1.71	26.85	0.0	2.5812540783735036
29	4	2018	6.27	20.56	0.0	2.2334573504718356
30	4	2018	0.71	11.94	0.0	1.6328937990422852
1	5	2018	-2.97	17.09	0.0	1.9839378579303064
2	5	2018	0.91	18.86	0.0	2.136452908216372
3	5	2018	5.99	21.99	0.0	2.3524175553415145
