Day	Month	Year	Tmin(c)	Tmax(c)	Prcp(mm)	Et0(mm)
1	1	2018	-32.0	-13.95	0.0	0.1724248213028938
2	1	2018	-21.99	-4.39	0.0	0.3250545609852844
3	1	2018	-13.93	-1.6	0.0	0.3418306728031516
4	1	2018	-13.71	-4.74	0.0	0.2454344604767661
5	1	2018	-13.56	-5.32	0.0	0.226387588673664
6	1	2018	-10.92	2.59	0.0	0.4400947078700098
7	1	2018	-8.03	2.48	0.0	0.3866352958632392
8	1	2018	-9.73	-1.05	0.0	0.2921659807981462
9	1	2018	-9.91	2.08	0.0	0.4090059324528745
10	1	2018	-23.56	-14.96	0.57	0.1310197918073973
11	1	2018	-28.84	-21.74	0.0	0.0729724364244041
12	1	2018	-31.6	-19.92	0.0	0.1059412622139483
13	1	2018	-27.1	-7.26	0.0	0.2780813990464106
14	1	2018	-22.29	-7.85	0.0	0.2591733149216435
15	1	2018	-29.45	-14.94	0.0	0.1621873046047529
16	1	2018	-20.99	0.15	0.0	0.4397126736903882
17	1	2018	-8.92	3.81	0.0	0.4654405236970038
18	1	2018	-6.77	7.89	0.0	0.5994836524472557
19	1	2018	-4.99	4.81	0.0	0.4234631919258402
20	1	2018	-8.58	1.66	0.0	0.3803804147061381
21	1	2018	-12.02	0.35	0.0	0.3952647360091309
22	1	2018	-10.79	4.86	0.0	0.545192314069358
23	1	2018	-11.18	1.18	0.0	0.4144744280833785
24	1	2018	-10.62	-0.17	0.0	0.3580942238815315
25	1	2018	-8.61	1.16	0.0	0.3681484666034011
26	1	2018	-12.17	-5.04	0.55	0.2221540496311705
27	1	2018	-18.52	-12.76	0.0	0.1235346496727525
28	1	2018	-20.84	-13.09	0.43	0.1480593213661686
29	1	2018	-22.05	-2.01	0.0	0.4042356211969887
30	1	2018	-11.78	4.93	0.0	0.6063867331531726
31	1	2018	-22.55	-12.84	0.0	0.1734333194707334
1	2	2018	-25.76	-13.97	0.0	0.1756124962027893
2	2	2018	-21.34	-16.31	3.94	0.0873888390636319
3	2	2018	-27.66	-19.81	1.14	0.0982263792722941
4	2	2018	-29.28	-16.17	0.0	0.1579036109788772
5	2	2018	-27.08	-15.51	0.0	0.1604034313689228
6	2	2018	-28.9	-17.2	0.0	0.1436437467752887
7	2	2018	-27.43	-12.84	0.0	0.2063199954219107
8	2	2018	-26.61	-17.08	0.0	0.1348190248504888
9	2	2018	-29.16	-16.28	0.0	0.1596363871683333
10	2	2018	-21.54	-9.68	0.0	0.2432898585196154
11	2	2018	-27.71	-14.78	0.0	0.1793196685648925
12	2	2018	-33.07	-12.62	0.0	0.2137593544941568
13	2	2018	-19.27	2.18	0.0	0.6473387898305246
14	2	2018	-12.61	1.11	1.7	0.6256425773877525
15	2	2018	-25.87	-12.45	0.0	0.2172129099108949
16	2	2018	-20.75	-3.54	0.0	0.4578899414847126
17	2	2018	-19.01	-9.9	0.0	0.2262889428920192
18	2	2018	-23.09	-12.67	0.0	0.1998236236650403
19	2	2018	-28.04	-12.81	0.0	0.2291796901692782
20	2	2018	-24.0	-11.72	0.0	0.2415310499411895
21	2	2018	-28.81	-9.51	0.0	0.3049461821082256
22	2	2018	-24.99	-8.98	0.0	0.3285997137351938
23	2	2018	-19.71	-6.53	0.0	0.3966290034535341
24	2	2018	-15.68	-1.91	0.0	0.574856251600081
25	2	2018	-17.0	-0.5	0.0	0.6441994437404178
26	2	2018	-14.7	-4.07	0.0	0.4556290547682314
27	2	2018	-14.28	-0.99	0.0	0.6247766142396669
28	2	2018	-13.58	0.86	0.0	0.7293610451405764
1	3	2018	-18.47	-1.19	0.0	0.6363180708676118
2	3	2018	-12.18	-3.58	0.0	0.4498739050555267
3	3	2018	-7.22	-3.65	3.54	0.1551873575910932
4	3	2018	-10.33	-4.82	8.02	0.2087543771549337
5	3	2018	-14.26	-8.63	0.0	0.1908129560722082
6	3	2018	-17.79	-7.89	0.0	0.3294635373371695
7	3	2018	-23.72	-5.19	0.0	0.4701825325166773
8	3	2018	-24.28	-7.26	0.0	0.4085419283130999
9	3	2018	-11.91	0.63	0.0	0.7181461478320685
10	3	2018	-11.67	-1.46	0.0	0.579769203945019
11	3	2018	-14.1	2.48	0.0	0.8480444402396466
12	3	2018	-16.49	-0.02	0.0	0.7248757931352717
13	3	2018	-16.3	2.53	0.0	0.8469644042439891
14	3	2018	-15.97	-0.48	0.0	0.7179442863492509
15	3	2018	-9.68	-2.39	0.0	0.4618498559332958
16	3	2018	-6.44	2.26	0.0	0.7521200424513239
17	3	2018	-4.54	1.05	3.47	0.348019680367085
18	3	2018	-5.07	1.59	0.69	0.5732354735279633
19	3	2018	-8.13	0.53	0.0	0.66004627522939
20	3	2018	-9.02	2.58	0.0	0.8755088413892822
21	3	2018	-10.76	2.91	0.0	0.9335260384532768
22	3	2018	-8.4	1.51	0.0	0.7910226069351978
23	3	2018	-5.09	1.33	4.78	0.4481032811599701
24	3	2018	-9.46	3.1	0.0	0.9545941548649766
25	3	2018	-5.71	1.98	0.0	0.7392297605568993
26	3	2018	-6.88	5.15	0.0	1.107072013399184
27	3	2018	-8.85	5.73	0.0	1.1743467874406714
28	3	2018	-11.39	-0.56	0.84	0.77496768979432
29	3	2018	-17.5	-4.37	0.94	0.6141770230458576
30	3	2018	-21.73	-12.7	1.2	0.2779721598660505
31	3	2018	-21.65	-9.76	0.0	0.4076822651333454
1	4	2018	-18.56	-5.28	0.0	0.5927657938994707
2	4	2018	-19.76	-5.19	0.0	0.597991097129209
3	4	2018	-16.22	-3.22	0.0	0.6900683744254162
4	4	2018	-17.71	-2.23	0.0	0.7416804999640982
5	4	2018	-17.36	-7.49	0.0	0.4643270507904343
6	4	2018	-22.56	-9.36	0.0	0.4409568434433175
7	4	2018	-20.33	-4.16	0.0	0.6600462563059986
8	4	2018	-11.24	-2.52	0.0	0.6678991591238937
9	4	2018	-6.29	1.67	0.0	0.8582709120567875
10	4	2018	-9.0	7.87	0.0	1.3868000339951982
11	4	2018	-2.4	3.1	0.96	0.748356014744647
12	4	2018	-3.34	0.11	0.0	0.3572707193017014
13	4	2018	-3.19	1.61	0.0	0.6331895325933967
14	4	2018	-2.85	8.02	0.0	1.4706010659339963
15	4	2018	-2.77	10.42	0.0	1.6269375686208205
16	4	2018	-1.02	5.99	3.92	0.8954622362900643
17	4	2018	-1.7	2.37	5.14	0.3474904803630312
18	4	2018	-5.33	10.03	0.0	1.5970844142672762
19	4	2018	-2.09	12.72	0.0	1.786431541012336
20	4	2018	-0.04	19.14	0.0	2.1855681951506867
21	4	2018	1.09	20.51	0.0	2.2821791952426524
22	4	2018	1.92	14.66	0.0	1.9137990755687055
23	4	2018	-0.98	13.06	0.0	1.8158060512212413
24	4	2018	-1.8	20.31	0.0	2.228870288256859
25	4	2018	3.15	17.33	0.0	2.0292733272020156
26	4	2018	-1.02	22.37	0.0	2.2817606651940228
27	4	2018	-0.83	16.97	0.0	1.992536450415513
28	4	2018	1.63	26.51	0.0	2.558937407493317
29	4	2018	6.13	21.85	0.0	2.3254465569091236
30	4	2018	0.62	11.55	0.0	1.5317480180442216
1	5	2018	-3.12	16.92	0.0	1.9699399959653143
2	5	2018	0.99	18.64	0.0	2.1206252723534664
3	5	2018	6.2	21.99	0.0	2.3483821667524305
4	5	2018	4.94	24.41	0.0	2.5137130041031694
5	5	2018	6.28	24.63	0.0	2.5322257866970204
6	5	2018	3.97	27.44	0.0	2.687996569800877
7	5	2018	11.02	26.8	0.0	2.6524368341575517
8	5	2018	9.47	18.21	6.63	1.527358960570544
9	5	2018	4.05	13.81	0.0	1.579641170692578
10	5	2018	3.79	11.85	2.84	1.0187660306901751
11	5	2018	4.53	10.57	1.99	0.9170520764809832
12	5	2018	3.43	17.9	0.0	2.090406127118972
13	5	2018	5.75	26.38	0.0	2.670055173642341
14	5	2018	4.26	24.82	0.0	2.5623661965997604
15	5	2018	12.02	31.93	0.0	3.0271897209872174
16	5	2018	8.92	28.94	0.0	2.837184483590617
17	5	2018	7.35	15.62	0.0	1.421946928939987
18	5	2018	4.48	18.11	0.0	2.072835235265625
19	5	2018	1.07	21.73	0.0	2.348381329523217
20	5	2018	2.28	24.83	0.0	2.55727598551195
21	5	2018	9.9	30.03	0.0	2.9217916832373723
22	5	2018	9.61	27.4	0.0	2.7336410022214825
23	5	2018	8.46	29.22	2.83	2.6279499518280782
24	5	2018	10.96	27.08	1.77	2.692627274335755
25	5	2018	10.58	28.7	0.0	2.826836408416467
26	5	2018	10.13	30.91	0.0	2.9979961157735833
27	5	2018	10.28	26.29	0.0	2.6519574439090707
28	5	2018	9.57	30.48	0.0	2.9825260977239627
29	5	2018	13.04	28.25	0.0	2.759549763782841
30	5	2018	11.08	25.16	5.62	2.15642158090476
31	5	2018	8.36	15.17	0.0	1.0832344845604167
1	6	2018	9.04	15.87	10.17	0.8467928054397422
2	6	2018	7.56	19.07	0.0	1.8674814416970371
3	6	2018	7.44	24.87	0.0	2.6289870608371277
4	6	2018	10.33	29.18	0.0	2.9257532187131674
5	6	2018	9.81	21.93	0.0	2.2624526239461744
6	6	2018	7.07	27.46	0.0	2.828720216766761
7	6	2018	8.86	27.72	0.0	2.834986677844745
8	6	2018	12.64	25.5	0.0	2.5414254041071747
9	6	2018	12.54	31.19	0.0	3.044053517578055
10	6	2018	13.42	25.29	0.0	2.398737457990068
11	6	2018	6.44	18.63	0.0	1.9899806429927176
12	6	2018	7.41	22.74	0.0	2.460420576329223
13	6	2018	7.81	26.28	0.0	2.7375015864149472
14	6	2018	9.37	22.34	1.89	2.3462951158480796
15	6	2018	9.27	23.1	0.0	2.447336228222904
16	6	2018	7.45	21.0	0.0	2.313348272390179
17	6	2018	7.88	24.99	0.0	2.6455125258535963
18	6	2018	7.5	27.43	0.0	2.8306952988193466
19	6	2018	10.96	25.92	0.0	2.6729554559328803
20	6	2018	9.33	29.2	0.0	2.95580872470936
21	6	2018	11.69	29.51	0.0	2.9538774901493623
22	6	2018	14.12	28.34	0.0	2.801230897352366
23	6	2018	11.84	27.18	12.62	2.5208764686091167
24	6	2018	14.64	26.55	0.0	2.484351125763595
25	6	2018	13.54	29.7	2.06	2.5274796617517628
26	6	2018	11.91	24.86	0.0	2.4664353112295534
27	6	2018	7.08	25.18	0.0	2.6935354956656345
28	6	2018	7.66	25.26	0.0	2.692477916939002
29	6	2018	11.73	22.89	1.86	2.210332356896302
30	6	2018	12.47	24.31	4.26	1.8765066530787675
1	7	2018	11.14	21.56	2.07	1.5207850146350022
2	7	2018	9.07	22.51	2.99	1.8309013933056024
3	7	2018	6.69	21.24	10.94	1.804321356963388
4	7	2018	10.44	19.7	7.95	1.155477053641617
5	7	2018	7.19	25.29	0.0	2.4717693857006746
6	7	2018	14.45	34.49	0.0	3.127644318338591
7	7	2018	14.24	30.98	0.0	2.7638967992787644
8	7	2018	10.02	26.09	0.0	2.4215391280670824
9	7	2018	9.53	29.86	0.0	2.8271769883847706
10	7	2018	12.74	29.54	6.25	2.171985551075559
11	7	2018	14.67	25.65	0.0	1.8321332349676045
12	7	2018	13.25	29.14	0.0	2.51059680707852
13	7	2018	12.89	33.09	0.0	2.9538602182572222
14	7	2018	11.73	21.68	0.0	1.5119794494686678
15	7	2018	8.04	26.14	0.0	2.4302136301485815
16	7	2018	6.47	26.74	0.0	2.5487327651896536
17	7	2018	10.42	34.69	0.0	3.175398293639982
18	7	2018	16.05	31.69	0.0	2.6542286201828507
19	7	2018	14.0	28.75	0.0	2.4211695361403742
20	7	2018	12.13	29.85	0.0	2.6803854781082204
21	7	2018	14.87	28.5	0.0	2.3012309513351172
22	7	2018	11.38	23.77	0.0	1.932905399101531
23	7	2018	8.85	24.05	0.0	2.174249399420401
24	7	2018	8.14	23.42	2.14	1.7350911979510022
25	7	2018	9.34	21.67	0.0	1.7811613051623203
26	7	2018	5.75	23.78	0.0	2.2441064734016924
27	7	2018	8.48	23.86	0.0	2.123008830866432
28	7	2018	7.96	27.43	0.0	2.514380151952581
29	7	2018	8.07	29.59	0.0	2.6844370672846956
30	7	2018	10.27	32.1	0.0	2.8327669808039317
31	7	2018	11.99	24.68	0.0	1.8667341644403788
1	8	2018	7.36	28.77	0.0	2.5792317495296713
2	8	2018	14.36	30.74	2.33	2.0052597256140223
3	8	2018	13.08	29.37	1.88	2.33344283583484
4	8	2018	12.8	22.94	2.21	1.075097498306842
5	8	2018	12.73	23.0	3.77	1.0858601970983186
6	8	2018	10.25	29.34	0.0	2.418469140201345
7	8	2018	12.4	31.73	0.0	2.5985725329320792
8	8	2018	11.3	30.54	0.0	2.519973079853864
9	8	2018	12.34	34.06	0.0	2.814528918922649
10	8	2018	12.93	39.2	0.0	3.19204445348389
11	8	2018	14.66	37.74	0.0	3.0224490588224473
12	8	2018	13.36	24.99	0.72	1.613137080535544
13	8	2018	8.31	17.93	0.0	1.089324659882458
14	8	2018	3.43	28.16	0.0	2.4306092793268004
15	8	2018	11.55	29.93	0.0	2.364938323368359
16	8	2018	10.02	29.96	0.0	2.42892448689734
17	8	2018	11.49	33.58	0.0	2.683496290401127
18	8	2018	10.44	25.44	0.0	1.8807159995332088
19	8	2018	3.43	24.46	0.0	2.083687048148843
20	8	2018	5.11	23.4	0.0	1.9247801130467257
21	8	2018	5.02	26.89	0.0	2.217371271341303
22	8	2018	9.73	30.47	0.0	2.399898391537095
23	8	2018	8.58	31.4	0.0	2.5068912092974536
24	8	2018	8.52	22.94	0.0	1.6425476327422175
25	8	2018	7.35	19.97	0.0	1.356787165313179
26	8	2018	7.79	17.49	3.38	0.8015827197297714
27	8	2018	7.58	14.38	6.06	0.5594387397705151
28	8	2018	6.93	19.34	0.0	1.2528424875933135
29	8	2018	6.27	27.12	0.0	2.1214884594595684
30	8	2018	10.46	23.1	1.3	1.4352247038854633
31	8	2018	7.38	20.1	0.0	1.3883280505507314
1	9	2018	6.32	21.59	0.0	1.6263438975271207
2	9	2018	3.39	20.55	0.0	1.6477084395566752
3	9	2018	4.09	24.5	0.0	1.951332746365879
4	9	2018	2.83	15.09	0.0	1.0777859434323724
5	9	2018	-0.58	22.03	0.0	1.8058607933437532
6	9	2018	2.67	25.36	0.0	1.9966760477483585
7	9	2018	7.26	25.05	0.0	1.828161401798542
8	9	2018	11.43	28.31	0.0	1.923330980182642
9	9	2018	7.7	23.11	0.0	1.5945176965143957
10	9	2018	3.67	24.83	0.0	1.8950195087423465
11	9	2018	6.03	17.79	0.0	1.0823544483641394
12	9	2018	4.98	15.44	1.64	0.8751407811591014
13	9	2018	3.56	12.14	2.28	0.6002803688672257
14	9	2018	3.05	9.32	0.0	0.472906576665868
15	9	2018	5.58	13.56	6.58	0.5948011707042801
16	9	2018	7.38	11.33	8.39	0.3132414705478913
17	9	2018	5.33	14.28	1.76	0.7317984088360298
18	9	2018	4.32	11.06	0.0	0.5359345306237848
19	9	2018	2.69	14.44	0.0	0.8857668467920684
20	9	2018	1.79	9.86	0.0	0.5952064132738929
21	9	2018	0.63	10.22	3.77	0.6186597227268406
22	9	2018	0.06	2.04	7.92	0.1296548110213998
23	9	2018	0.06	5.8	0.56	0.4022070838099894
24	9	2018	0.48	12.68	0.94	0.8580948454358894
25	9	2018	1.7	13.5	0.78	0.8585152162789875
26	9	2018	3.06	16.58	0.0	1.0213091964556966
27	9	2018	-1.65	9.4	0.0	0.7093802360201419
28	9	2018	-3.88	8.62	0.0	0.73510277605825
29	9	2018	-2.33	7.36	0.0	0.6044564992109983
30	9	2018	-7.18	4.64	0.96	0.6249119339555775
1	10	2018	-1.9	6.01	1.63	0.4975251266300448
2	10	2018	-1.28	2.66	2.35	0.2293612605300931
3	10	2018	-2.51	4.82	0.55	0.4540900596659247
4	10	2018	-6.57	5.22	0.0	0.611617017104252
5	10	2018	-2.93	7.8	0.0	0.6468266046211063
6	10	2018	-4.35	12.12	0.0	0.9644751096352436
7	10	2018	-3.03	13.5	0.0	1.014471121851512
8	10	2018	-2.31	3.77	0.0	0.375899318670144
9	10	2018	-2.74	1.53	0.0	0.2593754706290107
10	10	2018	-5.87	4.87	0.0	0.5684619739022749
11	10	2018	-9.12	6.0	0.0	0.6817447337281654
12	10	2018	-5.32	9.17	4.62	0.6991086016476065
13	10	2018	-4.71	-0.42	0.0	0.2339326002493528
14	10	2018	-8.72	4.16	0.0	0.5792646796611829
15	10	2018	-0.56	13.6	0.0	0.881234085786358
16	10	2018	-0.03	11.35	0.0	0.7118508847791922
17	10	2018	-2.08	22.07	0.0	1.3680649001016414
18	10	2018	2.96	19.78	0.0	1.1368208258733197
19	10	2018	-3.18	13.42	0.0	0.8818915348023308
20	10	2018	-7.1	17.47	0.0	1.1206485867094946
21	10	2018	-1.85	15.6	0.0	0.9529951494176256
22	10	2018	-6.15	11.92	0.0	0.8385828649504976
23	10	2018	-4.15	16.84	0.0	1.0368044541390051
24	10	2018	-2.26	19.71	0.0	1.1547524366225277
25	10	2018	-0.22	16.13	0.0	0.9174223138564692
26	10	2018	-1.46	13.73	0.0	0.8164056383714944
27	10	2018	-0.25	13.1	0.0	0.7453294597105854
28	10	2018	-5.67	10.35	0.0	0.7307344925116736
29	10	2018	-0.59	11.11	0.0	0.6393218925053101
30	10	2018	-1.94	7.48	0.0	0.4869684067133829
31	10	2018	-3.35	10.65	0.0	0.6858956664435457
1	11	2018	-3.19	4.67	1.43	0.3807118087470208
2	11	2018	-1.92	0.69	3.87	0.1247815335005177
3	11	2018	-4.74	1.33	0.0	0.2717449233376666
4	11	2018	-2.16	4.43	3.16	0.3114637516238557
5	11	2018	-7.93	-0.15	1.14	0.3105964018011474
6	11	2018	-12.47	-8.6	0.0	0.1190543215410758
7	11	2018	-11.86	-9.82	0.0	0.0648436562630344
8	11	2018	-17.91	-9.36	0.0	0.2003482081325804
9	11	2018	-22.62	-4.04	2.27	0.3442937539524926
10	11	2018	-10.0	-1.69	0.69	0.2960011131342507
11	11	2018	-11.56	-6.1	0.0	0.1754876781053721
12	11	2018	-16.43	-3.99	0.0	0.323764895136743
13	11	2018	-8.6	5.39	0.0	0.5386493454846687
14	11	2018	-0.86	6.49	0.0	0.3800602699722646
15	11	2018	-1.1	3.98	0.6	0.253227196609637
16	11	2018	-15.92	-3.83	0.0	0.3134859581007408
17	11	2018	-18.46	-6.19	0.0	0.2754615178729981
18	11	2018	-10.72	-5.75	1.87	0.1633886068083067
19	11	2018	-12.14	1.62	0.0	0.4438978808929202
20	11	2018	-5.81	3.98	0.0	0.4160779696216294
21	11	2018	-5.74	3.74	0.0	0.4038572289453173
22	11	2018	-1.7	6.68	0.0	0.4115802418969814
23	11	2018	-5.53	3.45	0.0	0.3787744593239174
24	11	2018	-7.13	-3.97	0.0	0.1213770573470739
25	11	2018	-7.47	-3.95	0.0	0.1334979221988061
26	11	2018	-6.99	-2.72	0.0	0.1670431281513638
27	11	2018	-4.62	1.51	0.0	0.2687188530493584
28	11	2018	-5.34	-0.79	0.0	0.1925786090848747
29	11	2018	-6.27	0.87	0.0	0.2911502066802469
30	11	2018	-8.7	-1.89	0.0	0.2481356549479796
1	12	2018	-6.95	-4.26	5.51	0.1013220400333158
2	12	2018	-7.63	-3.31	0.0	0.1659908708017633
3	12	2018	-12.87	-4.39	0.0	0.2540327978726423
4	12	2018	-13.91	-5.87	0.48	0.2266531535703151
5	12	2018	-13.3	-5.48	0.09	0.2272667538232351
6	12	2018	-14.54	-8.17	0.0	0.1712876436724146
7	12	2018	-19.23	-6.21	0.0	0.2763659460067188
8	12	2018	-17.6	-7.37	0.0	0.2339946005283397
9	12	2018	-15.38	-2.14	0.0	0.348224441306104
10	12	2018	-13.1	2.32	0.0	0.459047217906607
11	12	2018	-8.03	1.08	0.0	0.3397697242200094
12	12	2018	-4.76	1.36	0.0	0.262595526172131
13	12	2018	-8.55	3.41	0.0	0.4368389961833844
14	12	2018	-7.64	5.61	0.0	0.5032530988155198
15	12	2018	-2.85	5.11	0.0	0.3681474477584188
16	12	2018	-10.76	-1.86	0.0	0.2897928370388306
17	12	2018	-7.48	5.64	0.0	0.5002562142560352
18	12	2018	-3.64	5.48	0.0	0.4080840099493283
19	12	2018	-3.05	3.5	0.0	0.3004422074356226
20	12	2018	-7.0	3.37	0.0	0.4033175040934587
21	12	2018	-4.66	4.06	0.0	0.3746237609075725
22	12	2018	-8.39	-3.92	0.0	0.1606576251442589
23	12	2018	-14.93	-4.1	2.68	0.2762582072725571
24	12	2018	-14.56	-6.92	0.66	0.2026010842735437
25	12	2018	-15.74	-8.71	0.0	0.173452763283978
26	12	2018	-13.4	-6.29	0.0	0.1999332874470266
27	12	2018	-17.71	-7.84	0.46	0.2218018819953539
28	12	2018	-18.78	-5.06	0.0	0.2972897973264576
29	12	2018	-12.41	-2.64	1.19	0.293300732006242
30	12	2018	-17.54	-7.43	0.82	0.2295591239262591
31	12	2018	-26.16	-15.03	0.0	0.1477062566159201
1	1	2019	-24.37	-1.91	0.0	0.3794227983620561
2	1	2019	-10.27	4.3	0.0	0.4920661420143711
3	1	2019	-4.57	4.17	0.0	0.3722366501666311
4	1	2019	-7.05	4.26	0.0	0.4379294445726638
5	1	2019	-5.81	-1.73	0.0	0.1617586713632574
6	1	2019	-5.22	2.89	0.0	0.3378751495805698
7	1	2019	-11.86	-1.25	0.95	0.3290112723484482
8	1	2019	-19.58	-13.27	0.0	0.1217933591382625
9	1	2019	-20.81	-7.34	0.0	0.2609226163447521
10	1	2019	-14.06	-5.45	0.0	0.2366345965379359
11	1	2019	-17.05	-8.14	0.0	0.2080717375015164
12	1	2019	-12.92	2.52	0.0	0.4707463284430346
13	1	2019	-11.64	-0.06	0.0	0.3704210712003784
14	1	2019	-11.48	0.11	0.0	0.3746929669827687
15	1	2019	-14.62	-3.24	0.0	0.3139519126483836
16	1	2019	-15.26	-11.57	0.67	0.0915246201638721
17	1	2019	-22.26	-14.87	0.0	0.1250977020783571
18	1	2019	-24.75	-16.35	0.0	0.1223546956466732
19	1	2019	-19.33	-13.78	6.36	0.1065517029020285
20	1	2019	-17.84	-9.96	0.0	0.1791504511354205
21	1	2019	-17.26	-4.97	0.0	0.30110006263154
22	1	2019	-14.1	-1.48	0.0	0.3691420581234794
23	1	2019	-20.52	-3.77	0.0	0.3542146690105352
24	1	2019	-27.91	-7.38	0.0	0.2851875444499538
25	1	2019	-19.09	-2.45	0.0	0.3845218768973217
26	1	2019	-10.41	0.13	1.44	0.3736680432369968
27	1	2019	-7.41	4.3	1.4	0.4802648959938403
28	1	2019	-20.79	-8.8	0.0	0.2449164538899208
29	1	2019	-27.51	-19.06	0.0	0.1063948077907529
30	1	2019	-21.68	-10.03	0.38	0.2268839505385216
31	1	2019	-13.23	0.61	0.0	0.4435480955193158
1	2	2019	-17.53	-6.7	0.0	0.2728029296572467
2	2	2019	-21.73	-14.2	0.0	0.1429856820725581
3	2	2019	-24.77	-20.68	2.09	0.0566690498379009
4	2	2019	-26.23	-21.6	4.18	0.0588387525787095
5	2	2019	-32.12	-22.09	0.0	0.0959692371431865
6	2	2019	-34.86	-25.93	0.0	0.0682155428565054
7	2	2019	-38.09	-24.7	0.0	0.0845610596602604
8	2	2019	-37.57	-24.49	0.0	0.0862285789742173
9	2	2019	-33.68	-23.71	0.0	0.0862287839656694
10	2	2019	-31.07	-20.38	2.31	0.1073859779633467
11	2	2019	-28.99	-16.94	1.8	0.1545040967842426
12	2	2019	-32.09	-19.05	0.81	0.1353266528202151
13	2	2019	-27.61	-20.11	0.0	0.1017588306373962
14	2	2019	-32.74	-20.28	0.0	0.1237971583477827
15	2	2019	-33.2	-17.0	2.76	0.1529355905639063
16	2	2019	-20.54	-14.17	4.69	0.1294865636903726
17	2	2019	-21.35	-14.64	1.36	0.1415389792657451
18	2	2019	-26.51	-18.32	0.0	0.1246393678037303
19	2	2019	-27.74	-10.03	0.0	0.2736137559955499
20	2	2019	-23.78	-8.87	1.07	0.2935924883133909
21	2	2019	-23.97	-12.92	0.0	0.2097615032586298
22	2	2019	-27.09	-9.91	0.0	0.2809658534464945
23	2	2019	-22.99	-13.22	0.36	0.1991252898493665
24	2	2019	-31.39	-19.21	0.0	0.1422416047865971
25	2	2019	-34.34	-19.36	0.0	0.1451202930649236
26	2	2019	-28.51	-16.79	0.0	0.170111208832791
