Day	Month	Year	Tmin(c)	Tmax(c)	Prcp(mm)	Et0(mm)
1	1	2018	-32.37	-14.85	0.0	0.1625938524091772
2	1	2018	-22.28	-4.6	0.0	0.323417387673593
3	1	2018	-14.14	-1.73	0.0	0.3428492328744428
4	1	2018	-14.29	-5.18	0.0	0.2432140217931998
5	1	2018	-13.61	-5.51	0.0	0.2226841871095443
6	1	2018	-10.66	3.03	0.0	0.4546400447450388
7	1	2018	-7.8	2.49	0.0	0.3841360273262584
8	1	2018	-9.73	-1.09	0.0	0.2929765389991844
9	1	2018	-9.68	2.21	0.0	0.4128945585170033
10	1	2018	-23.65	-13.68	0.63	0.1548176379684442
11	1	2018	-29.0	-21.75	0.0	0.0742922726359547
12	1	2018	-31.74	-20.36	0.0	0.1022227676963207
13	1	2018	-27.55	-7.4	0.0	0.2774016040329685
14	1	2018	-22.69	-7.95	0.0	0.2607766963693586
15	1	2018	-29.48	-15.73	0.0	0.1527529305952081
16	1	2018	-21.73	-0.66	0.0	0.4229540880728456
17	1	2018	-9.54	3.76	0.0	0.4773607957396736
18	1	2018	-6.75	7.45	0.0	0.6026388227474555
19	1	2018	-5.12	4.76	0.0	0.4270683051191383
20	1	2018	-8.85	1.87	0.0	0.3965512121761884
21	1	2018	-12.27	0.57	0.0	0.409353472737367
22	1	2018	-11.26	4.65	0.0	0.5656565693138458
23	1	2018	-11.34	1.06	0.0	0.4154337506216688
24	1	2018	-11.14	-0.38	0.0	0.3620068109875261
25	1	2018	-8.68	1.83	0.0	0.3983751916546972
26	1	2018	-12.21	-4.46	0.4	0.2435246300985318
27	1	2018	-18.6	-12.82	0.0	0.1236649642292423
28	1	2018	-21.21	-12.99	0.39	0.1550809723909075
29	1	2018	-22.15	-2.53	0.0	0.3956575393728445
30	1	2018	-12.51	4.9	0.0	0.6361189516648058
31	1	2018	-22.53	-12.45	0.0	0.1820879346321936
1	2	2018	-26.02	-14.27	0.0	0.1731846339111243
2	2	2018	-21.54	-16.02	3.82	0.0955163015011246
3	2	2018	-28.04	-19.43	1.59	0.1066409483746422
4	2	2018	-29.35	-16.37	0.0	0.1564491627299988
5	2	2018	-27.09	-15.83	0.0	0.15647782822601
6	2	2018	-29.17	-16.92	0.0	0.1495091579397183
